s,Source,Context,Max Line Width,English,Francais,German
tutorialTipQuest01,,Popup Tip,,"Dear Survival,\n\nWelcome to the \n game '7 day to die' + Mod 'Experimental Recipies'. \n Well if you install the mod, than you prepare to hard work. \n\nGood Luck and have fun, Sergant1000",,
tutorialTipQuest02,,Popup Tip,,"Basic Survival is your active quest. The quest's status is displayed on the Objective Tracker in the top right of the screen. For more information on quests, access your Inventory and navigate to the Quests menu.",,
tutorialTipQuest03,,Popup Tip,,"You've earned a Skill Point for completing the Basic Survival Quest. Spend it by accessing your Inventory and navigating to the Skills menu, then highlight the desired Skill or Perk and purchase it.",,
tutorialTipQuest01_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Started Basics of Survival,,,,
tutorialTipQuest02_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Quest Tracking,,,,
tutorialTipQuest03_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Spending Skill Points,,,,
quest_BasicSurvival,,Quest Info,,Survival,,
quest_BasicSurvival1,,Quest Info,,Basic Action 1/8,,
quest_BasicSurvival1_subtitle,,Quest Info,,Harvesting a resourse,,
quest_BasicSurvival1_description,,Quest Info,,"You can harvest stiсk by hiting trees your hands. You can also pick up small stones and plant fibers by looking at them and using the Pickup action.",,
quest_BasicSurvival2,,Quest Info,,Basic Action 2/8,,
quest_BasicSurvival2_subtitle,,Quest Info,,Craft a Stone Tools,,
quest_BasicSurvival2_description,,Quest Info,,"Now you know how to harvest resours but gathering it with hands loong and boring. Lets to craft some tools from simple resourse.",,
quest_BasicSurvival3,,Quest Info,,Basic Action 3/8,,
quest_BasicSurvival3_subtitle,,Quest Info,,Gathering Wood,,
quest_BasicSurvival3_description,,Quest Info,,"Take Axe in your hands and harvesting wood by hiting trees. If you falling the tree it will give you more woods.",,
quest_BasicSurvival4,,Quest Info,,Basic Action 4/8,,
quest_BasicSurvival4_subtitle,,Quest Info,,Gathering Stone,,
quest_BasicSurvival4_description,,Quest Info,,"Take Pickaxe in your hands and harvesting stone by hiting big stones. If you crash the big stones it will give you more stones.",,
quest_BasicSurvival5,,Quest Info,,Basic Action 5/8,,
quest_BasicSurvival5_subtitle,,Quest Info,,Craft Plant Fiber Clothing,,
quest_BasicSurvival5_description,,Quest Info,,"Craft plant fiber clothing to protect you from cold weather or warm weather. Gather the ingredients by pressing action button on a grass. Once you have the ingredients, access the Inventory and locate the Clothing category of the Crafting window. Craft plant fiber clothing.",,
quest_BasicSurvival6,,Quest Info,,Basic Action 6/8,,
quest_BasicSurvival6_subtitle,,Quest Info,,Wear Plant Fiber Clothing,,
quest_BasicSurvival6_description,,Quest Info,,"To wear your plant fiber clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.",,
quest_BasicSurvival7,,Quest Info,,Basic Action 7/8,,
quest_BasicSurvival7_subtitle,,Quest Info,,Craft Wooden Spear,,
quest_BasicSurvival7_description,,Quest Info,,"Gather wood by attacking trees or bushes. Once you have the ingredients, access the Inventory and locate Wooden Spear in the Basics category of the Crafting window. Craft a Wooden Spear.",,
quest_BasicSurvival8,,Quest Info,,Basic Action 8/8,,
quest_BasicSurvival8_subtitle,,Quest Info,,Craft Bow & Arrows,,
quest_BasicSurvival8_description,,Quest Info,,"Now that you have a melee weapon, you could use a ranged weapon. Gather wood, stone, plant fibers and feathers found in bird nests on the ground. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Wooden Bow and Arrows.",,
quest_BasicSurvival9,,Quest Info,,Basic Builder 1/4,,
quest_BasicSurvival9_subtitle,,Quest Info,,Safe place,,
quest_BasicSurvival9_description,,Quest Info,,"All bases starting from campfire, bedroll and chest. Find safe area and place its thay.",,
quest_BasicSurvival10,,Quest Info,,Basic Builder 2/4,,
quest_BasicSurvival10_subtitle,,Quest Info,,Prepare to Base,,
quest_BasicSurvival10_description,,Quest Info,,"How you see crafting Wood Planks by hand some slowly. Well its time to craft Workbench. in Workbench you can craft more items.",,
quest_BasicSurvival11,,Quest Info,,Basic Builder 3/4,,
quest_BasicSurvival11_subtitle,,Quest Info,,Build a Base,,
quest_BasicSurvival11_description,,Quest Info,,"Fresh air is good but it bad protecting from claw and teeth. Craft some Wood Frames. Place Wooden Frames in the world by equipping them and using the secondary action.",,
quest_BasicSurvival12,,Quest Info,,Basic Builder 4/4,,
quest_BasicSurvival12_subtitle,,Quest Info,,Build a Base,,
quest_BasicSurvival12_description,,Quest Info,,"How you see Wood Frames some mmm.. transparently. Well, upgrade them with a Stone Hammer using the secondary action while you have extra wood in your Inventory. After this you can build youq own home.",,
quest_BasicSurvival13,,Quest Info,,Basic Resourse 1/2,,
quest_BasicSurvival13_subtitle,,Quest Info,,Gunpowder,,
quest_BasicSurvival13_description,,Quest Info,,"Hiting zombe by club or bow, it is good. But shooting them is more good. Lets create a gunpowder",,
quest_BasicSurvival14,,Quest Info,,Basic Resourse 2/2,,
quest_BasicSurvival14_subtitle,,Quest Info,,Alternative,,
quest_BasicSurvival14_description,,Quest Info,,"You can finde resoure you can harvest resourse. And you can craft it. Some resourse can craft on campfire, some on ovens. Create some coal and potassiumNitratePowder on the campfire",,


challenge_silenceofthelambs,,Challenge Info,,Silence of the Lambs,,
challenge_silenceofthelambs_offer,,Challenge Info,,"Dear Survivor,\nIf you've found this note then you know my crew and I have been watching you from afar. You're pretty good at survival but let's see if you can pass this test and just maybe we'll let you join our clan.\n\nGood Luck, Crazy Jake\n\nChallenge: Kill a screamer zombie.",,
challenge_silenceofthelambs_subtitle,,Challenge Info,,Kill some Screamer Zombie,,
challenge_drunkanddisorderly,,Challenge Info,,Drunk and Disorderly,,
challenge_drunkanddisorderly_offer,,Challenge Info,,"Listen Punk,\nIf you've come to possess this note then know this. We've been watching you. You're pretty crafty but let's see if you can do this task and just maybe you can join our little band of merry survivors.\n\nCrazy is my middle name.. Jake\n\nChallenge: Kill some zombies with your fists while drunk",,
challenge_drunkanddisorderly_subtitle,,Challenge Info,,Fist Fight Zombies Drunk,,
challenge_nurseyoubacktohealth,,Challenge Info,,Nurse You Back to Health,,
challenge_nurseyoubacktohealth_offer,,Challenge Info,,"Hey Survivor,\nIf you've come into possession of this note than you should know we've been tailing you. We like your style but before we roll out the red carpet to our camp let's see if you can handle this little test.\n\nCrazy ‘and I like it' Jake\n\nChallenge: Kill some nurse zombies",,
challenge_nurseyoubacktohealth_subtitle,,Challenge Info,,Kill some Nurse Zombies,,
challenge_copanattitude,,Challenge Info,,Cop an Attitude,,
challenge_copanattitude_offer,,Challenge Info,,"Traveler,\nThe fact that you're reading this note is no accident. My boys have been watching you and we're always looking for new recruits that are still on the living side of things. But before we get all chummy we'd like you to do this little thing to see what you're made of.\n\nThey call me Crazy Jake\n\nChallenge: Kill some zombie cops",,
challenge_copanattitude_subtitle,,Challenge Info,,Kill some Zombie Cops,,
challenge_dogdaysareover,,Challenge Info,,The Dog Days Are Over,,
challenge_dogdaysareover_offer,,Challenge Info,,"Congrats Recruit,\nThis note is a personal invitation to join our clan. We've been following you and see potential. Do this job and we'll think about letting you join. Let's see if you're tough enough to kill some zombie dogs.\n\nI'm fucking Crazy Jake\n\nChallenge: Kill some zombie dogs",,
challenge_dogdaysareover_subtitle,,Challenge Info,,Kill some Zombie Dogs,,
challenge_itsybitsyspider,,Challenge Info,,Itsy Bitsy Spider,,
challenge_itsybitsyspider_offer,,Challenge Info,,"Hey Jackass,\nIf you're reading this note it should come as no surprise that we've been sizing you up. I've got just the test for a simpleton like you. Do it and we might take you in.\n\nCrazier than ever.. Jake\n\nChallenge: Kill some spider zombies",,
challenge_itsybitsyspider_subtitle,,Challenge Info,,Kill some Spider Zombies,,
challenge_ladykiller,,Challenge Info,,Lady Killer,,
challenge_ladykiller_offer,,Challenge Info,,"Dear Stranger,\nMy crew have been following you and have reported some potential. That said if you can pass this challenge we may have room for one more new recruit in our camp.\n\nCrazy ‘Like a Fox' Jake\n\nChallenge: Kill some female zombies",,
challenge_ladykiller_subtitle,,Challenge Info,,Kill some Female Zombies,,
challenge_maneater,,Challenge Info,,The Man Eater,,
challenge_maneater_offer,,Challenge Info,,"Hey Asshole,\nThe wasteland is a lonely desolate place. We've been looking in on you and think you might be a good addition to our clan. But before we take in another mouth to feed you'll need to prove yourself worthy. Do this task and we'll consider taking you in.\n\nCrazy ‘but still kicking' Jake\n\nChallenge: Kill some male zombies",,
challenge_maneater_subtitle,,Challenge Info,,Kill some Male Zombies,,
challenge_imalumberjackandimokay,,Challenge Info,,I'm a Lumberjack and I'm Okay,,
challenge_imalumberjackandimokay_offer,,Challenge Info,,"Hey Bastard,\nWe've been watching you and we know who you are. You seem like you can take care of yourself pretty well but let's see if you can handle this challenge. Do this and we might just induct you into our private club. You better dress warm.\n\nI'm crazy in the head, Crazy Jake\n\nChallenge: Kill some lumberjack zombies with a fireaxe",,
challenge_imalumberjackandimokay_subtitle,,Challenge Info,,Kill some Snow Zombies,,
challenge_yournothingspecial,,Challenge Info,,You're nothing Special,,
challenge_yournothingspecial_offer,,Challenge Info,,"Listen up Fucker,\nThe only reason you're not dead is because I like you. That's right we've been watching you. We could use someone with your talents so if you can handle this little tiny task you might just make it onto Team Crazy.\n\nI'm batshit crazy & loving it, Crazy Jake\n\nChallenge: Kill some special infected zombies",,
challenge_yournothingspecial_subtitle,,Challenge Info,,Kill some Special infected,,
challenge_killthewabbit,,Challenge Info,,Kill the Wabbit,,
challenge_killthewabbit_offer,,Challenge Info,,"Howdy Survivor,\nIf you've picked up this note then you know we've been observing you. You've got survival skills I'll give you that but let's see if you can pass this challenge and just maybe we'll let you join us.\n\nGood Luck Slick Willie\n\nChallenge: Kill some rabbits with a sawed off shotgun",,
challenge_killthewabbit_subtitle,,Challenge Info,,Kill Rabbits with Shotgun,,
challenge_nailsomechicks,,Challenge Info,,Nail Some Chicks,,
challenge_nailsomechicks_offer,,Challenge Info,,"Hello Friend,\nIf you're reading this note than you know we've been watching you. We're looking to add some new recruits and I think you've got what it takes. Do this little job and we might just make room for one more chicken in our coop. That is unless you're chicken ha ha.\n\nSlicker than greased goose shit..Willie\n\nChallenge: Kill some chickens with a Nailgun",,
challenge_nailsomechicks_subtitle,,Challenge Info,,Kill Chickens with Nailgun,,
challenge_thatlldopig,,Challenge Info,,That'll Do Pig,,
challenge_thatlldopig_offer,,Challenge Info,,"Greetings Traveler,\nIf you ‘all are holding this note then you should know my boys have been sticking to you like flies on pig shit. That's because we think you just might be Slick Willie material. Now if you can pull off this wee little task we might just call you kin.\n\nI aint no city slicker.. Willie\n\nChallenge: Kill some pigs",,
challenge_thatlldopig_subtitle,,Challenge Info,,Kill Pigs,,
challenge_stagparty,,Challenge Info,,Stag Party,,
challenge_stagparty_offer,,Challenge Info,,"Well how do you do,\nFriend if you've reading this letter than you should know my crew has been watching you. Do this little task for us and we might let you join the Willies. If not don't let the door hit you where the good lord split you.\n\nSlick ‘as a whistle' Willie\n\nChallenge: Kill some Stags",,
challenge_stagparty_subtitle,,Challenge Info,,Kill Stags,,
challenge_dontfeedthebears,,Challenge Info,,Don't Feed the Bears,,
challenge_dontfeedthebears_offer,,Challenge Info,,"Howdy Friend,\nUnless you got shit for brains you probably know we've been following you. Now that we've got the pleasantries out of the way let me get right to the point. We want you to join the Willies but first you have to pass this initiation for us to consider it.\n\nSlicker than a minnow's dick..Willie\n\nChallenge: Kill some Bears",,
challenge_dontfeedthebears_subtitle,,Challenge Info,,Kill Bears,,
challenge_buythefarm,,Challenge Info,,Buy the Farm,,
challenge_buythefarm_offer,,Challenge Info,,"Well Survivor,\nI guess you found the note we left you. Now that the cat's out of the bag let's get down to business. We've been watching you and think you might make a good recruit. But before we open our doors to a stranger let's see if you can do this simple job.\n\nI'm slicker than cat shit on linoleum..Willie\n\nChallenge: Kill some Animals",,
challenge_buythefarm_subtitle,,Challenge Info,,Kill some Animals,,
treasure_taylor,,,,Taylor's Treasure Map,,
treasure_taylor_offer,,Challenge Info,,"Dear Survivor,\nIf you're reading this note than the worst has probably happened and the odds are I'm dead. But rather than let all my stashes of supplies go to waste I'd like you to have one of them. I've marked the location on this map for you.\n\nGood Luck Taylor",,
treasure_taylor_subtitle,,Challenge Info,,Taylor's Treasure Map,,
treasure_nickole,,,,Nickole's Treasure Map,,
treasure_nickole_offer,,Challenge Info,,"To whom it may concern,\nIf you've come to possess this note than quite possibly I've been eaten by the dead. Follow this map to one of my many valuable treasure locations I buried to keep safe from Crazy Jake. If you find it may you make good use of it.\n\nBest Wishes Nickole",,
treasure_nickole_subtitle,,Challenge Info,,Nickole's' Treasure Map,,
treasure_stephan,,,,Stephan's Treasure Map,,
treasure_stephan_offer,,Challenge Info,,"Dear Friend,\nIf you've got this note than I'm probably dead or even worse one of the monsters. I leave you this map to one of my many stockpiles of buried supplies. If you find it promise me you'll use it to make the world a better place again.\n\nYours Truly Stephan",,
treasure_stephan_subtitle,,Challenge Info,,Stephan's Treasure Map,,
treasure_jennifer,,,,Jennifer's Treasure Map,,
treasure_jennifer_offer,,Challenge Info,,"To whomever finds this note,\nFriend the end is near. The monsters are breaking down my door but in my final moments I can only think of how I want to be remembered. Not as a coward but as someone who thinks of others. I leave you this map to one of my many secret buried chests.\n\nGod Bless You Jennifer",,
treasure_jennifer_subtitle,,Challenge Info,,Jennifer's Treasure Map,,
treasure_claude,,,,Claude's Treasure Map,,
treasure_claude_offer,,Challenge Info,,"Hello Friend,\nI don't even know you but I have to share my thoughts in my darkest hour. I've been bitten by one of the monsters and I can feel myself turning. As I fight the urge to eat my own family I feel the need to do one last good deed. Follow this map to one of my many personal stashes. May it keep you alive.\n\nSincerely Claude",,
treasure_claude_subtitle,,Challenge Info,,Claude's Treasure Map,,
treasure_sarah,,,,Sarah's Treasure Map,,
treasure_sarah_offer,,Challenge Info,,"If you found this note,\nThis may be your lucky day. I've been bitten by one of the creatures and the fever has taken hold. I don't have long but the least I could do before I turn is help someone, anyone as God would want me to. If there is still a God. So I leave you with this map to one of my many buried supply chests.\n\nTo a new life Sarah",,
treasure_sarah_subtitle,,Challenge Info,,Sarah's Treasure Map,,
treasure_raphael,,,,Raphael's Treasure Map,,
treasure_raphael_offer,,Challenge Info,,"Dear Stranger,\nI've got the cold sweats and it won't be long. All I can think of in my final hour is if my son Joey is still alive. I have no reason to trust you but I have no choice. Crazy Jake has kidnapped him. In your hand is a map to one of my many secret supply caches. Promise me if you find it you'll help my son.\n\nI'm counting you Raphael",,
treasure_raphael_subtitle,,Challenge Info,,Raphael's Treasure Map,,

Tip_keyword,,Keywords,KeyTrunk FrNone GrNone KgNone SpNone,Tip,,,,
gunAssemblyTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"To assemble Guns or Motorized Tools, you must have all the parts in your inventory and have read the recipe. Build it by selecting the part in your inventory and click on the “Assemble” action. These recipes will not appear in the Crafting menus.",,,,
gunAssemblyTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Gun Assembly,,,,
airDropTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Air Supply Drops can happen around mid-day. Listen for the airplane and follow the orange smoke to find the crate the plane drops. You can also find supply crates marked on your map if the mark air drops option is enabled.,,,,
airDropTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Air Drops,,,,
harvestTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Use a Bone Shiv or Bladed Weapon to skin an animal and receive bonus resources. This is also true when using a wrench to break down cars or mechanical items. Use the best tool for the job and get bigger rewards.,,,,
harvestTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Harvesting Resources,,,,
forgeTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Forges are used to smelt metals and resources used to craft more recipes. Recipes can only be crafted at the forge using the smelted resources not items from your inventory. Unlock even more recipes in the forge by adding an anvil, calipers or tool and die set.",,,,
forgeTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Forges,,,,
campfireTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Campfires are used to keep you warm, cook food, purify water and for chemistry. You must place wood or burnable objects in the fuel slots to use it. Craft even more recipes in the campfire by adding a cooking pot, cooking grill or beaker in the utensils slot.",,,,
campfireTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Campfires,,,,
bedrollTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,When you place a Bedroll you'll see a Bed Icon on your compass and map. This will lead you back to your home and will act as a re-spawn point if you die. You can only have one bedroll active so your last placed bedroll is your active bedroll.,,,,
bedrollTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Bedroll,,,,
workbenchTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Not only does the Workbench have all the backpack recipes it also unlocks advanced recipes allowing you to craft more items. Queue up a craft action and walk away keeping your main crafting queue open for use. You can also combine similar single part items of quality to make a new better item at the workbench. Workstations can be disassembled with a wrench and relocated.,,,,
workbenchTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Workbench,,,,
cementMixerTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,The Cement Mixer helps you craft concrete and asphalt to make stronger base walls and can mill rocks into sand. Workstations can be disassembled with a wrench and relocated.,,,,
cementMixerTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Cement Mixer,,,,
chemistryStationTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"The Chemistry Station enables you craft additional chemicals, liquids and compounds. While some recipes are also available at a Campfire the Chemistry Station requires fewer resources. Workstations can be disassembled with a wrench and relocated.",,,,
chemistryStationTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Chemistry Station,,,,
alternateAmmoTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Some weapons have more than one ammo type. Hold the reload action to see and load the possible ammo types for a weapon.,,,,
alternateAmmoTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Alternate Ammo,,,,
augmentGunsTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Guns can be augmented with Flashlights once you have read the gun recipe. Build them by selecting the gun in your inventory, click the “Assemble” action and drag the flashlight into the slot. These recipes will not appear in the Crafting menus.",,,,
augmentGunsTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Augment Guns,,,,
farmingTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Use the secondary action while holding a Garden Hoe to upgrade dirt to fertile dirt. Once the dirt is fertile you can use the secondary action while holding a seed to plant crops. Upgrade fertile dirt using a Garden Hoe and Fertilizer to make fertilized dirt which yields even more crops from plants.,,,,
farmingTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Farming,,,,
firstAidTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Heal yourself or stop bleeding by holding a Bandage, First Aid Bandage, First Aid Kit or Blood Bag and using the primary action. Heal others with the same items using the secondary action.",,,,
firstAidTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,First Aid,,,,
waterTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,You can drink water from rivers and lakes with your bare hands using the secondary action. Be warned this water is not purified and you run the risk of contracting dysentery. Boiling water at a campfire is best with an empty can or glass jar which can be filled at water sources using the secondary action.,,,,
waterTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Water,,,,
hotWeatherTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"If you're overheating, you can combat this by removing clothing or by only wearing items with a negative insulation value like the plant fiber hat or a bandana. All clothing has a positive or negative insulation value you can see by examining it. You can also get wet, drink liquids like red tea, stay in the shade or in a shelter and don’t stand close to open fires. And lastly avoid activity that consumes stamina which warms the player.",,,,
hotWeatherTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Hot Weather,,,,
coldWeatherTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"If you’re getting cold, you can combat this by wearing more clothing or by only wearing items with a positive insulation value like the puffer coat. All clothing has a positive or negative insulation value you can see by examining it. You can also stand near fires, get indoors, drink coffee, stay dry and change clothing that has a negative insulation value. And lastly do activity that consumes stamina which warms the player.",,,,
coldWeatherTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Cold Weather,,,,
traderTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Traders can be found in the world at White River Settlements marked by a Flag and a Traitor Joel’s sign. Items can be bought and sold with Duke Coins. You can see your total cash in the upper corner of your inventory. Traders will restock items periodically. They also have a secret stash which offers special items based on your level and perks. Some items can only be bought or sold in bundles. Traders are open for business between dawn and dusk. Invest in the Barter skill and Secret Stash perk to do better with traders.,,,,
traderTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Traders,,,,
vendingMachineTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"There are three types of vending machines: beverage vending machines found at stores, rentable vending machines found at Trader Settlements, and player owned vending machines which can only be acquired through a Trader’s Secret Stash. All vending Machines use Duke Coins which can be found in the world or acquired through selling items to Traders. You can see how much money you have in the upper right of your inventory. NPCs can purchase from your rented vending machine so it’s wise to keep it well stocked and not mark up the items too high.",,,,
vendingMachineTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Vending Machines,,,,
treasureMapTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Treasure maps can lead to really great loot. If you read and accept a Treasure Quest the map and compass will be marked with a treasure icon. Follow this icon and when you get close it will flash red. Make sure you are digging in the area when the compass icon is flashing red. Treasure is usually buried 2-3 meters’ underground. Invest in the Treasure Hunter Perk to make treasure hunting easier to find.,,,,
treasureMapTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Treasure Maps,,,,
miningTip,,Popup Tip,,"All biomes have iron ore and a rare chance for all ores. Each biome has a predominate ore which can be seen in small piles on the surface and found in that biome near bedrock. Special ores per biome are nitrate in snow and wasteland, lead in the maple and pine forests, coal in the plains and burnt forests, and oil shale in the desert. You can also look for light brown gravel spots on the ground or the map and dig down from there to find the resource veins. Clay can be seen as a medium brown spot on the surface.",,,,
miningTip_title,,Popup Tip,,Mining,,,,
