Key,Source,Context,Max Line Width,English,Francais,German
stoneKnife,items,Item,,Stone Knife,,
stoneKnifeDesc,items,Item,,This primitive weapon is also useful for gutting animals.,,
ironShiv,items,Item,,Iron Shiv,,
ironShivDesc,items,Item,,Weapon from iron and cloth.,,
huntingKnife,items,Item,,Hunting Knife,,
huntingKnifeDesc,items,Item,,Great for slashing zombies and gutting animals for meat.,,
machete,items,Item,,Machete,,
macheteDesc,items,Item,,Great for chopping zombie limbs off and gutting animals for meat.,,
finka,items,Item,,Finka,,
finkaDesc,items,Item,,Finka is a simple weapon of crime world.,,
cookingKnife,items,Item,,Cooking Knife,,
cookingKnifeDesc,items,Item,,Good knife for cutting vegetables.,,
straightedgeRazor,items,Item,,Straight-edge Razor,,
straightedgeRazorDesc,items,Item,,Someone loves his beards.,,
butterflyKnife,items,Item,,Butterfly Knife,,
butterflyKnifeDesc,items,Item,,Beautiful and dangerosly weapon.,,
battleKnifeCherry,items,Item,,Battle Knife ''Cherry'',,
battleKnifeCherryDesc,items,Item,,This knife using military.,,
kaBar,items,Item,,Ka-Bar,,
kaBarDesc,items,Item,,It is good as a battle, and a multi-function knife.,,
knifeShark,items,Item,,Knife ''Shark'',,
knifeSharkDesc,items,Item,,This knife know how to know youre enemy deeper.,,
khukuri,items,Item,,Khukuri,,
khukuriDesc,items,Item,,This thing don't know difference with bone and bamboo.,,
katana,items,Item,,Katana,,
katanaDesc,items,Item,,Weapon of realy samurai.,,
ancientAxe,items,Item,,Ancient Axe,,
ancientAxeDesc,items,Item,,Hard Weapon of past.,,
screwdriver,items,Item,,Screwdriver,,
advancedScrewdriver,items,Item,,Advanced Screwdriver,,
screwdriverDesc,items,Item,,A rare tool.,,
fork,items,Item,,Fork,,
forkDesc,items,Item,,You can taste zombe.,,
pan,items,Item,,Pan,,
panDesc,items,Item,,It very important tool.,,
flashlight02,items,Item Gun,,Flashlight,,
flashlight02Desc,items,Item Gun,,A flashlight can be used for a light source by toggling on your light source action. It can also be attached to most guns.,,
woodenBow,items,Item,,Wooden Bow,,
woodenBowDesc,items,Item,,A wooden bow. Good for hunting and killing zombies. Uses arrows for ammunition. Hold reload to use alternate ammo.,,
crossbow,items,Item Gun,,Crossbow,,
crossbowDesc,items,Item Gun,,A crossbow does more damage than a wooden bow. Good for hunting and not making noise. Hold reload to use alternate ammo.,,
crossbowMIB,items,Item Gun,,Crossbow MIB,,
crossbowMIBDesc,items,Item Gun,,A modificated crossbow with iron and scope.,,
flintlock,items,Item Gun,,Flintlock,,
flintlockDesc,items,Item Gun,,A handmade pistol. Uses Blunderbuss Ammo and 9x19mm Homemade.,,
ubludok,items,Item Gun,,Automatic ''Ubludok'',,
ubludokDesc,items,Item Gun,,This is low damadge submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be assembled from any junk.,,
blunderbuss,items,Item Gun,,Blunderbuss,,
blunderbussDesc,items,Item Gun,,"A primitive muzzle loader can be crafted from pipes, forged iron, wood and springs. Effective at very close ranges.",,
duplet,items,Item Gun,,Shotgun ''Duplet'',,
dupletDesc,items,Item Gun,,A handmade shotgun. Uses Buckshot Ammo, 12x70mm Shell, 12x70mm Slug, 12x70mm Flame and 12x70mm Homemade.,,
handmadeGranadeLancher,items,Item Gun,,Handmade Granade Lancher,,
handmadeGranadeLancherDesc,items,Item Gun,,A handmade granade luncher. Uses Simple Granade and 40x46mm Granade.,,
beretta92,items,Item Gun,,Beretta 92,,
beretta92Desc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
glock23,items,Item Gun,,Glock 23,,
glock23Desc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
glock18,items,Item Gun,,Glock 18,,
glock18Desc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
jericho941,items,Item Gun,,Jericho 941,,
jericho941Desc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
sIGSauerP228,items,Item Gun,,SIG-Sauer P228,,
sIGSauerP228Desc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
sIGSauerP229,items,Item Gun,,SIG-Sauer P229,,
sIGSauerP229Desc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
hKUSPCompact,items,Item Gun,,HK USP Compact,,
hKUSPCompactDesc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
mP443Rook,items,Item Gun,,MP-443 ''Rook'',,
mP443RookDesc,items,Item Gun,,A basic pistol. Uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the pistol book.,,
fiveseveN,items,Item Gun,,Five-seveN,,
fiveseveNDesc,items,Item Gun,,A basic pistol. Uses 5.7x28mm Bullet, 5.7x28mm Flame and 5.7x28mm Exploding. Can be re-assembled and repaired if you read the pistol book.,,
desertVII,items,Item Gun,,Desert Eagle Mark VII,,
desertVIIDesc,items,Item Gun,,It's the most powerful but makes the most noise. Uses 10.9x32.6 R Magnum, 10.9x32.6 Flame and 10.9x32.6 Exploding.,,
colt1911,items,Item Gun,,Colt 1911,,
colt1911Desc,items,Item Gun,,It's the most powerful but makes the most noise. Uses 11.43x23mm Bullet, 11.43x23mm Flame and 11.43x23mm Exploding.,,
jericho941F,items,Item Gun,,Jericho 941F,,
jericho941FDesc,items,Item Gun,,It's the most powerful but makes the most noise. Uses 12.7x33 Bullet, 12.7x33 Flame and 12.7x33 Exploding.,,
desertXIX,items,Item Gun,,Desert Eagle Mark XIX,,
desertXIXDesc,items,Item Gun,,It's the most powerful but makes the most noise. Uses 12.7x33 Bullet, 12.7x33 Flame and 12.7x33 Exploding.,,
44Magnum,items,Item Gun,,.44 Magnum,,
44MagnumDesc,items,Item Gun,,The .44 Magnum is the king of handguns. It's the most powerful but makes the most noise. Wield this bad boy and make Clint proud. Uses 10.9x32.6 R Magnum, 10.9x32.6 Flame and 10.9x32.6 Exploding.,,
hKMP5SD3,items,Item Gun,,HK MP-5SD3,,
hKMP5SD3Desc,items,Item Gun,,This ass-kicking submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
iMIUZI,items,Item Gun,,IMI UZI,,
iMIUZIDesc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
miniUZI,items,Item Gun,,Mini UZI,,
miniUZIDesc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
microUZI,items,Item Gun,,Micro UZI,,
microUZIDesc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
uziPro,items,Item Gun,,Uzi Pro,,
uziProDesc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
ingramMACM10,items,Item Gun,,Ingram MAC M10,,
ingramMACM10Desc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
fNP90,items,Item Gun,,FN P90,,
fNP90Desc,items,Item Gun,,This submachine gun uses 5.7x28mm Bullet, 5.7x28mm Flame and 5.7x28mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
mP40,items,Item Gun,,mP40,,
mP40Desc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
carlGustafM45,items,Item Gun,,Carl Gustaf M/45,,
carlGustafM45Desc,items,Item Gun,,This submachine gun uses 9x19mm Parabellum, 9x19mm Flame, 9x19mm Exploding and 9x19mm Homemade. Can be re-assembled and repaired if you read the schematic.,,
winchesterM1912,items,Item Gun,,Winchester M1912,,
winchesterM1912Desc,items,Item Gun,,A long-barreled shotgun uses 12x70mm Shell, 12x70mm Slug, 12x70mm Flame and 12x70mm Homemade. Can be re-assembled and repaired if you read the Shotgun Schematic.,,
sawedOffShotgun,items,Item Gun,,Sawed-off Shotgun,,
sawedOffShotgunDesc,items,Item Gun,,A sawed-off shotgun fires 12x70mm Shell, 12x70mm Slug, 12x70mm Flame and 12x70mm Homemade. Can be re-assembled and repaired once you've read the schematic.,,
benelliM3Super90,items,Item Gun,,Benelli M3 Super 90,,
benelliM3Super90Desc,items,Item Gun,,A long-barreled shotgun uses 12x70mm Shell, 12x70mm Slug, 12x70mm Flame and 12x70mm Homemade. Can be re-assembled and repaired if you read the Shotgun Schematic.,,
benelliXM1014,items,Item Gun,,Benelli XM1014,,
benelliXM1014Desc,items,Item Gun,,A long-barreled shotgun uses 12x70mm Shell, 12x70mm Slug, 12x70mm Flame and 12x70mm Homemade. Can be re-assembled and repaired if you read the Shotgun Schematic.,,
ak47,items,Item Gun,,AK-47,,
ak47Desc,items,Item Gun,,This badass AK-47 Assault Rifle uses 7.62x39mm Bullet,7.62x39mm Flame and 7.62x39mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
ak12,items,Item Gun,,AK-12,,
ak12Desc,items,Item Gun,,This Assault Rifle uses 5.56x45mm NATO, 5.56x45mm Flame, 5.56x45mm Exploding, 7.62x39mm Bullet, 7.62x39mm Flame, 7.62x39mm Exploding, 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
ak74,items,Item Gun,,AK-74,,
ak74Desc,items,Item Gun,,This Assault Rifle uses 5.45x39mm Bullet, 5.45x39mm Flame and 5.45x39mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
akc74y,items,Item Gun,,AKC-74Y,,
akc74yDesc,items,Item Gun,,This Assault Rifle uses 5.45x39mm Bullet, 5.45x39mm Flame and 5.45x39mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
iMIGalil,items,Item Gun,,IMI Galil,,
iMIGalilDesc,items,Item Gun,,This Assault Rifle uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
m16A1,items,Item Gun,,M16A1,,
m16A1Desc,items,Item Gun,,This Assault Rifle uses 5.56x45mm NATO, 5.56x45mm Flame and 5.56x45mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
sig556,items,Item Gun,,Sig 556,,
sig556Desc,items,Item Gun,,This Assault Rifle uses 5.56x45mm NATO, 5.56x45mm Flame and 5.56x45mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
hKG3,items,Item Gun,,HK G3,,
hKG3Desc,items,Item Gun,,This Assault Rifle uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
steyrAUG,items,Item Gun,,Steyr AUG,,
steyrAUGDesc,items,Item Gun,,This Assault Rifle uses 5.56x45mm NATO, 5.56x45mm Flame and 5.56x45mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
sIGSG552,items,Item Gun,,SIG SG 552,,
sIGSG552Desc,items,Item Gun,,This Assault Rifle uses 5.56x45mm NATO, 5.56x45mm Flame and 5.56x45mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
remington700,items,Item Gun,,Remington 700,,
remington700Desc,items,Item Gun,,"This common farmer's hunting rifle uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be assembled, repaired and augmented once you've read the schematic.",,
injector105,items,Item Gun,,Injector 105,,
injector105Desc,items,Item Gun,,This tranquilizer rifle uses dartmedicament, Painkiller, Bloodstop and Infection.,,
steyrScout,items,Item Gun,,Steyr Scout,,
steyrScoutDesc,items,Item Gun,,"This hunting rifle uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be assembled, repaired and augmented once you've read the schematic.",,
remingtonR11RSASS,items,Item Gun,,Remington R11 RSASS,,
remingtonR11RSASSDesc,items,Item Gun,,A sniper rifle uses 7.62x51mm NATO, 7.62x51mm Flame, 7.62x51mm Exploding ammo and has a scope for zooming. Can be re-assembled and repaired once you've read the schematic.,,
aIAWMF300WM,items,Item Gun,,AI AWM F 300WM,,
aIAWMF300WMDesc,items,Item Gun,,A powerfull sniper rifle in a game uses 8.6x70mm Bullet, 8.6x70mm Flame, 8.6x70mm Exploding and has a scope for zooming. Can be re-assembled and repaired once you've read the schematic.,,
m249SAW,items,Item Gun,,M249 SAW,,
m249SAWDesc,items,Item Gun,,This machine gun uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
mG42,items,Item Gun,,MG-42,,
mG42Desc,items,Item Gun,,This machine gun uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
lSAT,items,Item Gun,,LSAT,,
lSATDesc,items,Item Gun,,This machine gun uses 7.62x51mm NATO, 7.62x51mm Flame and 7.62x51mm Exploding. Can be re-assembled and repaired if you read the schematic.,,
handmadeRocketLauncher,items,Item Gun,,Handmade Rocket Launcher,,
handmadeRocketLauncherDesc,items,Item Gun,,A Rocket Launcher shoots rocket propelled grenades. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
rPG32BARKAS,items,Item Gun,,RPG-32 ''BARKAS'',,
rPG32BARKASDesc,items,Item Gun,,A Rocket Launcher shoots PG-32V Rockets. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
m202A1FLASH,items,Item Gun,,M202A1 FLASH,,
m202A1FLASHDesc,items,Item Gun,,A Rocket Launcher shoots M74 Rockets. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
m79,items,Item Gun,,M79,,
m79Desc,items,Item Gun,,A Granade Launcher shoots 40x46mm Granades. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
eX41,items,Item Gun,,EX-41,,
eX41Desc,items,Item Gun,,A Granade Launcher shoots 40x46mm Granades. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
gL06,items,Item Gun,,GL-06,,
gL06Desc,items,Item Gun,,A Granade Launcher shoots 40x46mm Granades. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
mk1SMGL,items,Item Gun,,Mk-1S MGL,,
mk1SMGLDesc,items,Item Gun,,A Granade Launcher shoots 40x46mm Granades. Can be re-assembled & repaired once you've read the Rocket Launcher Schematic.,,
coltNavy,items,Item Gun,,.Colt Navy,,
coltNavyDesc,items,Item Gun,,The Colt Navy uses 10.9x32.6 R Magnum, 10.9x32.6 Flame and 10.9x32.6 Exploding.,,
minigun,items,Item Gun,,.Minigun,,
minigunDesc,items,Item Gun,,The Minigun uses 10x22mm Bullet, 10x22mm Flame, 10x22mm Exploding and 10x22mm Homemade.,,
flamethrower,items,Item Gun,,.Flamethrower,,
flamethrowerDesc,items,Item Gun,,The flamethrower uses napalmTank.,,
arrow,items,Item,,Arrow,,
arrowDesc,items,Item,,Ammunition for a bow. Hold reload to use alternate ammo.,,
ironArrow,items,Item ,,Iron Arrow,,
ironArrowDesc,items,Item ,,An iron arrow does more damage than the basic arrow. Hold reload to use alternate ammo.,,
steelArrow,items,Item ,,Steel Arrow,,
steelArrowDesc,items,Item ,,A steel arrow does more damage than the basic or iron arrow. Hold reload to use alternate ammo.,,
flamingArrow,items,Item ,,Flaming Arrow,,
flamingArrowDesc,items,Item ,,A flaming arrow does the most damage by setting it's victims on fire. Hold reload to use alternate ammo.,,
crossbowBolt,items,Item Gun,,Crossbow Bolt,,
crossbowBoltDesc,items,Item Gun,,Ammo for the crossbow. Hold reload to use alternate ammo.,,
ironCrossbowBolt,items,Item Gun,,Iron Crossbow Bolt,,
ironCrossbowBoltDesc,items,Item Gun,,An iron crossbow bolt does more damage than the basic wooden crossbow bolt. Hold reload to use alternate ammo.,,
steelCrossbowBolt,items,Item Gun,,Steel Crossbow Bolt,,
steelCrossbowBoltDesc,items,Item Gun,,A steel crossbow bolt does more damage than the iron crossbow bolt. Hold reload to use alternate ammo.,,
flamingCrossbowBolt,items,Item ,,Flaming Crossbow Bolt,,
flamingCrossbowBoltDesc,items,Item ,,A flaming Crossbow Bolt does the most damage by setting it's victims on fire. Hold reload to use alternate ammo.,,
explodingCrossbowBolt,items,Item Gun,,Exploding Crossbow Bolt,,
explodingCrossbowBoltDesc,items,Item Gun,,Rifle grenades gone medieval. Ages 6 and up. Hold reload to use alternate ammo.,,
blunderbussAmmo,items,Item Gun,,Blunderbuss Ammo,,
blunderbussAmmoDesc,items,Item Gun,,Blunderbuss ammo can be made with paper and gun powder plus scrap iron or small rocks.,,
buckshotAmmo,items,Item Gun,,Buckshot Ammo,,
buckshotAmmoDesc,items,Item Gun,,Buckshot ammo can be made with paper and gun powder plus scrap. Hold reload to use alternate ammo.,,
simpleGranade,items,Item Gun,,Simple Granade,,
simpleGranadeDesc,items,Item Gun,,Simple Granade can be made with short pipe and gun powder plus fiber rope.,,
rocket,items,Item Gun,,Rocket,,
rocketDesc,items,Item,,A rocket used as rocket launcher ammunition can be crafted at a forge once you've read the schematic.,,
pG32VRocket,items,Item Gun,,PG-32V Rocket,,
pG32VRocketDesc,items,Item,,A rocket used as RPG-32 ''BARKAS'' ammunition can be crafted at a forge once you've read the schematic.,,
m74Rocket,items,Item Gun,,M74 Rocket,,
m74RocketDesc,items,Item,,A rocket used as M202A1 FLASH ammunition can be crafted at a forge once you've read the schematic.,,
40x46mmGranade,items,Item Gun,,40x46mm Granade,,
40x46mmGranadeDesc,items,Item,,A rocket used as Granade launcher ammunition can be crafted at a forge once you've read the schematic.,,
napalmTank,items,Item Gun,,Napalm Tank,,
napalmTankDesc,items,Item,,A rocket used as Flamethrower ammunition can be crafted at a forge once you've read the schematic.,,
9x19mmHomemade,items,Item,,9x19mm Homemade,,
9x19mmHomemadeDesc,items,Item,,A 9x19mm round making youre own hands from scrap. Hold reload to use alternate ammo.,,
9x22mmHomemade,items,Item,,9x22mm Homemade,,
